bls_code,name_de,type,allergens,sighi,fodmap
# === KATEGORIE C: Getreide & Getreideprodukte ===
C131000,"Hafer ganzes Korn, roh",RAW,[GLUTEN],0,[FRUCTAN]
C133000,"Hafer Flocken",RAW,[GLUTEN],0,[FRUCTAN]
C141000,"Gerste ganzes Korn, roh",RAW,[GLUTEN],0,[FRUCTAN]
C243000,"Gerste Mehl",RAW,[GLUTEN],0,[FRUCTAN]
C341000,"Mais roh",RAW,[],0,[]
C443000,"Mais Mehl",RAW,[],0,[]
C352000,"Reis poliert, roh",RAW,[],0,[]
C359000,"Reis parboiled, poliert, roh",RAW,[],0,[]
# === KATEGORIE E: Teigwaren ===
E401000,"Teigwaren eifrei, roh",RAW,[GLUTEN],0,[]
E510000,"Vollkornteigwaren eifrei, roh",RAW,[GLUTEN],0,[FRUCTAN]
# === KATEGORIE F: Obst ===
F301100,"Erdbeere roh",RAW,[],2,"[FRUCTAN,SORBIT]"
F302100,"Himbeere roh",RAW,[],2,[FRUCTAN]
F331100,"Maulbeere roh",RAW,[],0,[]
# === KATEGORIE G: Gemüse ===
G130100,"Rucola roh",RAW,[],0,[]
G420100,"Stielmus/Rübstiel, roh",RAW,[],0,[]
G541100,"Gemüsepaprika grün, roh",RAW,[],0,[FRUCTAN]
G543100,"Gemüsepaprika rot, roh",RAW,[],0,[FRUCTAN]
G611100,"Kohlrübe/Steckrübe, roh",RAW,[],0,[]
G660100,"Knollensellerie roh",RAW,[],0,[MANNIT]
G614100,"Weiße Rübe/Wasserrübe/Herbstrübe, roh",RAW,[],0,[]
# === KATEGORIE H: Sprossen, Tofu ===
H640100,"Alfalfasprossen/Alfalfakeimlinge, roh",RAW,[],0,[]
H662100,"Linsensprossen/Linsenkeimlinge, roh",RAW,[],0,[GOS]
H861000,"Tofu",RAW,[SOY],0,[GOS]
H861100,"Seidentofu",RAW,[SOY],0,[GOS]
# === KATEGORIE M: Milchprodukte ===
M012100,"Roquefort mind. 50 % Fett i. Tr.",RAW,[LACTOSE],2,[LACTOSE]
M5B1600,"Gorgonzola mind. 48 % Fett i. Tr.",RAW,[LACTOSE],2,[LACTOSE]
M881000,"Milchpulver mit hohem Fettgehalt (Sahnepulver, Rahmpulver)",RAW,[LACTOSE],0,[LACTOSE]
M882000,"Vollmilchpulver",RAW,[LACTOSE],0,[LACTOSE]
