category;name_de;search_en;search_alt_en
Obst;Apfel;apple raw with skin;apple raw
Obst;Apfel geschält;apple raw without skin;apple peeled
Obst;Birne;pear raw;pears raw
Obst;Banane;banana raw;bananas raw
Obst;Orange;orange raw;oranges raw
Obst;Mandarine;tangerines raw;mandarin raw
Obst;Clementine;clementine raw;tangerines raw
Obst;Grapefruit;grapefruit raw pink;grapefruit raw
Obst;Zitrone;lemon raw;lemons raw
Obst;Limette;lime raw;limes raw
Obst;Erdbeere;strawberries raw;strawberry raw
Obst;Himbeere;raspberries raw;raspberry raw
Obst;Blaubeere;blueberries raw;blueberry raw
Obst;Brombeere;blackberries raw;blackberry raw
Obst;Johannisbeere rot;currants red raw;red currants
Obst;Johannisbeere schwarz;currants european black raw;black currants
Obst;Kirsche süß;cherries sweet raw;cherry sweet raw
Obst;Kirsche sauer;cherries sour red raw;sour cherries
Obst;Pflaume;plums raw;plum raw
Obst;Aprikose;apricots raw;apricot raw
Obst;Pfirsich;peaches raw;peach raw
Obst;Nektarine;nectarines raw;nectarine raw
Obst;Weintraube grün;grapes green raw;grapes thompson seedless
Obst;Weintraube rot;grapes red raw;grapes red
Obst;Wassermelone;watermelon raw;watermelon
Obst;Honigmelone;melons honeydew raw;honeydew melon
Obst;Cantaloupe;melons cantaloupe raw;cantaloupe melon
Obst;Ananas;pineapple raw;pineapples raw
Obst;Mango;mangos raw;mango raw
Obst;Papaya;papayas raw;papaya raw
Obst;Kiwi;kiwifruit green raw;kiwi raw
Obst;Granatapfel;pomegranate raw;pomegranates raw
Obst;Feige frisch;figs raw;fig raw
Obst;Dattel;dates medjool;dates deglet noor
Obst;Avocado;avocados raw california;avocado raw
Obst;Kaki;persimmons japanese raw;persimmon raw
Obst;Litschi;litchis raw;lychee raw
Obst;Stachelbeere;gooseberries raw;gooseberry raw
Obst;Holunderbeere;elderberries raw;elderberry raw
Obst;Heidelbeere;blueberries wild raw;huckleberry
Obst;Preiselbeere;cranberries raw;cranberry raw
Obst;Sanddorn;sea buckthorn berries;sea buckthorn
Obst;Quitte;quinces raw;quince raw
Obst;Rhabarber;rhubarb raw;rhubarb stalks
Obst;Rosine;raisins seedless;raisins
Gemüse;Tomate;tomatoes red ripe raw;tomato raw
Gemüse;Cherrytomate;tomatoes cherry red raw;cherry tomato
