keyword;score;category;source_ref
Eier, Hühnerei, Vollei;1;Eier;SIGHI_FoodList_2024-08-29_p4_r15
Eigelb, Eidotter;0;Eier;SIGHI_FoodList_2024-08-29_p4_r17
Eiklar, Eiweiß;1;Eier;SIGHI_FoodList_2024-08-29_p4_r18
Eiweiss, Eiweiß, Eiklar;1;Eier;SIGHI_FoodList_2024-08-29_p4_r19
Wachteleier;0;Eier;SIGHI_FoodList_2024-08-29_p4_r20
Blauschimmelkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r22
Butter: Sauerrahmbutter, mildgesäuerte Butter;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r23
Butter: Süßrahmbutter, Süssrahmbutter;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r25
Butterkäse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r27
Buttermilch, angesäuert;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r28
Camembert;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r29
Cheddar Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r30
crème fraïche;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r31
Edelschimmelkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r32
Feta, Feta-Käse;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r33
Fontina Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r34
Frischkäse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r35
Geheimratskäse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r36
Ghee;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r37
Gouda Käse, gereift;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r39
Gouda Käse, jung;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r40
Haltbarmilch, H-Milch, UHT-Milch, Up-Milch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r41
Joghurt nature;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r43
Käse: lange gereifte Sorten und Hartkäse (z.B.;3;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r44
Käsezubereitungen (=Mischungen mit weiteren;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r46
Kefir;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r48
Mascarpone Käse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r49
Milch, laktosefrei;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r50
Milch, pasteurisiert (PAST-Milch);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r52
Milchpulver;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r54
Molke: Sauermolke;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r55
Molke: Süßmolke, Süssmolke, Labmolke;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r56
Mozzarella Käse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r13
Obers, Sahne (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r14
Quark;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r17
Raclette Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r18
Rahm, süß (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r19
Ricotta Käse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r22
Rohmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r23
Rohmilchkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r25
Rohmilchprodukte;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r27
Roquefort Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r28
Sahne, süß (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r29
Sauerrahm;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r32
saure Sahne;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r33
Schafmilch, Schafsmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r34
Schimmelkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r35
Schlagobers, Schlagsahne (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r36
Schmelzkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r39
Süssrahm, Süßrahm (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r40
Topfen;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r43
UHT-Milch, Up-Milch, H-Milch, Haltbarmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r44
Ziegenmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r46
Dörrfleisch, Trockenfleisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p5_r48
