fdc_id;name_de;name_en;brand;ingredients_en;kcal;protein;carbs;sugar;fat;satfat;fiber;salt;micronutrients_json
171688;Apfel, roh, mit Schale;Apple, raw, with skin;;APPLE;52;0.26;13.81;10.39;0.17;0.028;2.4;0.001;"{""vitamin_c"":4.6,""vitamin_k"":2.2,""kalium"":107,""calcium"":6,""magnesium"":5,""phosphor"":11,""eisen"":0.12}"
170567;Mandeln, roh;Almonds, raw;;ALMONDS;579;21.15;21.55;4.35;49.93;3.802;12.5;0.001;"{""vitamin_e"":25.6,""vitamin_b2"":1.14,""calcium"":269,""magnesium"":270,""phosphor"":481,""kalium"":733,""eisen"":3.71,""zink"":3.12}"
173410;Joghurt, natur, vollfett;Yogurt, plain, whole milk;;CULTURED PASTEURIZED GRADE A MILK;61;3.47;4.66;4.66;3.25;2.096;0;0.117;"{""vitamin_b12"":0.37,""vitamin_b2"":0.142,""calcium"":121,""phosphor"":95,""kalium"":155}"
2768188;;Alaska Pollock, raw;;;78.479;17.33;0.057;0;0.993;0.237;0;0.287;"{""calcium"":40.36,""eisen"":0.2402,""jod"":185.5,""kalium"":353.0,""kupfer"":0.09744,""magnesium"":22.82,""mangan"":0.003125,""natrium"":114.8,""phosphor"":223.2,""selen"":27.0,""vitamin_a"":2.61,""vitamin_b1"":0.08626,""vitamin_b12"":1.759,""vitamin_b2"":0.1035,""vitamin_b3"":1.48,""vitamin_b5"":0.25,""vitamin_b6"":0.1213,""vitamin_b9"":9.573,""vitamin_d"":0.0,""zink"":0.4313}"
2262074;;Almond butter, creamy;;;602.51;20.787;21.237;0;53.04;4.253;9.718;0.002;"{""calcium"":263.8,""eisen"":4.108,""kalium"":745.4,""kupfer"":0.9746,""magnesium"":267.8,""mangan"":2.135,""natrium"":0.9963,""phosphor"":506.9,""selen"":0.7938,""vitamin_b1"":0.09456,""vitamin_b3"":3.909,""vitamin_b6"":0.08375,""vitamin_b7"":57.31,""vitamin_b9"":42.46,""vitamin_e"":16.67,""vitamin_k"":0.0,""zink"":3.178}"
2257045;;Almond milk, unsweetened, plain, refrigerated;;;19.33;0.656;0.671;0;1.558;0;0;0.148;"{""calcium"":157.5,""eisen"":0.1247,""kalium"":49.27,""kupfer"":0.02688,""magnesium"":8.249,""mangan"":0.05642,""natrium"":59.22,""phosphor"":19.08,""vitamin_b1"":0.005,""vitamin_b12"":0.4492,""vitamin_b2"":0.08333,""vitamin_b3"":0.08875,""vitamin_b6"":0.0,""vitamin_b7"":1.425,""vitamin_b9"":0.0,""vitamin_d"":1.59,""vitamin_k"":0.0,""zink"":0.07661}"
1999631;;Almond milk, unsweetened, plain, shelf stable;;;14.556;0.555;0.337;0;1.221;0.104;0;0.149;"{""calcium"":172.7,""eisen"":0.2899,""jod"":0.0,""kalium"":30.79,""kupfer"":0.02126,""magnesium"":6.785,""mangan"":0.04497,""natrium"":59.58,""phosphor"":29.85,""selen"":0.0,""vitamin_a"":41.4,""vitamin_b1"":0.0,""vitamin_b12"":0.3375,""vitamin_b2"":0.03339,""vitamin_b3"":0.07438,""vitamin_b6"":0.0,""vitamin_b7"":1.019,""vitamin_b9"":0.0,""vitamin_d"":0.927,""vitamin_e"":3.323,""zink"":0.1718}"
2747652;;Anchovies, canned in olive oil, with salt, drained;;;206.065;26.938;2.41;0;9.853;0;0;13.508;"{""calcium"":239.8,""eisen"":2.688,""kalium"":297.8,""kupfer"":0.2352,""magnesium"":227.6,""mangan"":0.1377,""natrium"":5403.0,""phosphor"":225.7,""selen"":48.15,""vitamin_b12"":12.65,""zink"":2.539}"
2003590;;Apple juice, with added vitamin C, from concentrate, shelf stable;;;47.232;0.086;11.364;0;0.286;0;0;0.012;"{""calcium"":7.099,""eisen"":0.04016,""kalium"":95.87,""kupfer"":0.003401,""magnesium"":4.861,""mangan"":0.0271,""natrium"":4.872,""phosphor"":5.987,""vitamin_b1"":0.0,""vitamin_b3"":0.01031,""vitamin_b6"":0.01388,""vitamin_b9"":3.088,""vitamin_c"":51.16,""zink"":0.002125}"
1750340;;Apples, fuji, with skin, raw;;;58.203;0.148;15.651;13.33;0.163;0;2.075;0.003;"{""calcium"":5.975,""eisen"":0.015,""kalium"":103.8,""kupfer"":0.03279,""magnesium"":4.67,""mangan"":0.03263,""natrium"":1.013,""phosphor"":9.78,""vitamin_b1"":0.00625,""vitamin_b2"":0.0675,""vitamin_b3"":0.09063,""vitamin_b6"":0.03544,""vitamin_b9"":0.0,""zink"":0.01676}"
