fdc_id;name_de;name_en;brand;ingredients_en;kcal;protein;carbs;sugar;fat;satfat;fiber;salt;micronutrients_json
171689;Apfel;Apples, raw, without skin;;;48;0.27;12.76;10.1;0.13;0.021;1.3;0;"{""calcium"":5.0,""eisen"":0.07,""kalium"":90.0,""kupfer"":0.031,""magnesium"":4.0,""mangan"":0.038,""natrium"":0.0,""phosphor"":11.0,""selen"":0.0,""vitamin_a"":2.0,""vitamin_b1"":0.019,""vitamin_b12"":0.0,""vitamin_b2"":0.028,""vitamin_b3"":0.091,""vitamin_b5"":0.071,""vitamin_b6"":0.037,""vitamin_b9"":0.0,""vitamin_c"":4.0,""vitamin_d"":0.0,""vitamin_e"":0.05,""vitamin_k"":0.6,""zink"":0.05}"
173928;Apfel geschält;Apples, raw, without skin, cooked, boiled;;;53;0.26;13.64;11.01;0.36;0.058;2.4;0.003;"{""calcium"":5.0,""eisen"":0.19,""kalium"":88.0,""kupfer"":0.035,""magnesium"":3.0,""mangan"":0.118,""natrium"":1.0,""phosphor"":8.0,""selen"":0.3,""vitamin_a"":2.0,""vitamin_b1"":0.016,""vitamin_b12"":0.0,""vitamin_b2"":0.012,""vitamin_b3"":0.095,""vitamin_b5"":0.046,""vitamin_b6"":0.044,""vitamin_b9"":1.0,""vitamin_c"":0.2,""vitamin_d"":0.0,""vitamin_e"":0.05,""vitamin_k"":0.6,""zink"":0.04}"
169118;Birne;Pears, raw;;;57;0.36;15.23;9.75;0.14;0.022;3.1;0.003;"{""calcium"":9.0,""eisen"":0.18,""kalium"":116.0,""kupfer"":0.082,""magnesium"":7.0,""mangan"":0.048,""natrium"":1.0,""phosphor"":12.0,""selen"":0.1,""vitamin_a"":1.0,""vitamin_b1"":0.012,""vitamin_b12"":0.0,""vitamin_b2"":0.026,""vitamin_b3"":0.161,""vitamin_b5"":0.049,""vitamin_b6"":0.029,""vitamin_b9"":7.0,""vitamin_c"":4.3,""vitamin_d"":0.0,""vitamin_e"":0.12,""vitamin_k"":4.4,""zink"":0.1}"
173944;Banane;Bananas, raw;;;89;1.09;22.84;12.23;0.33;0.112;2.6;0.003;"{""calcium"":5.0,""eisen"":0.26,""kalium"":358.0,""kupfer"":0.078,""magnesium"":27.0,""mangan"":0.27,""natrium"":1.0,""phosphor"":22.0,""selen"":1.0,""vitamin_a"":3.0,""vitamin_b1"":0.031,""vitamin_b12"":0.0,""vitamin_b2"":0.073,""vitamin_b3"":0.665,""vitamin_b5"":0.334,""vitamin_b6"":0.367,""vitamin_b9"":20.0,""vitamin_c"":8.7,""vitamin_d"":0.0,""vitamin_e"":0.1,""vitamin_k"":0.5,""zink"":0.15}"
169918;Orange;Oranges, raw, Florida;;;46;0.7;11.54;9.14;0.21;0.025;2.4;0;"{""calcium"":43.0,""eisen"":0.09,""kalium"":169.0,""kupfer"":0.039,""magnesium"":10.0,""mangan"":0.024,""natrium"":0.0,""phosphor"":12.0,""selen"":0.5,""vitamin_a"":11.0,""vitamin_b1"":0.1,""vitamin_b12"":0.0,""vitamin_b2"":0.04,""vitamin_b3"":0.4,""vitamin_b5"":0.25,""vitamin_b6"":0.051,""vitamin_b9"":17.0,""vitamin_c"":45.0,""vitamin_d"":0.0,""vitamin_e"":0.18,""vitamin_k"":0.0,""zink"":0.08}"
169105;Mandarine;Tangerines, (mandarin oranges), raw;;;53;0.81;13.34;10.58;0.31;0.039;1.8;0.005;"{""calcium"":37.0,""eisen"":0.15,""kalium"":166.0,""kupfer"":0.042,""magnesium"":12.0,""mangan"":0.039,""natrium"":2.0,""phosphor"":20.0,""selen"":0.1,""vitamin_a"":34.0,""vitamin_b1"":0.058,""vitamin_b12"":0.0,""vitamin_b2"":0.036,""vitamin_b3"":0.376,""vitamin_b5"":0.216,""vitamin_b6"":0.078,""vitamin_b9"":16.0,""vitamin_c"":26.7,""vitamin_d"":0.0,""vitamin_e"":0.2,""vitamin_k"":0.0,""zink"":0.07}"
168195;Clementine;Clementines, raw;;;47;0.85;12.02;9.18;0.15;0;1.7;0.003;"{""calcium"":30.0,""eisen"":0.14,""kalium"":177.0,""kupfer"":0.043,""magnesium"":10.0,""mangan"":0.023,""natrium"":1.0,""phosphor"":21.0,""selen"":0.1,""vitamin_b1"":0.086,""vitamin_b2"":0.03,""vitamin_b3"":0.636,""vitamin_b5"":0.151,""vitamin_b6"":0.075,""vitamin_b9"":24.0,""vitamin_c"":48.8,""vitamin_d"":0.0,""vitamin_e"":0.2,""vitamin_k"":0.0,""zink"":0.06}"
174675;Grapefruit;Grapefruit, raw, pink and red, Florida;;;30;0.55;7.5;0;0.1;0.014;1.1;0;"{""calcium"":15.0,""eisen"":0.12,""kalium"":127.0,""kupfer"":0.044,""magnesium"":8.0,""mangan"":0.01,""natrium"":0.0,""phosphor"":9.0,""selen"":1.4,""vitamin_a"":13.0,""vitamin_b1"":0.04,""vitamin_b12"":0.0,""vitamin_b2"":0.02,""vitamin_b3"":0.2,""vitamin_b5"":0.283,""vitamin_b6"":0.042,""vitamin_b9"":9.0,""vitamin_c"":37.0,""vitamin_d"":0.0,""zink"":0.07}"
168573;Zitrone;Lemon grass (citronella), raw;;;99;1.82;25.31;0;0.49;0.119;0;0.015;"{""calcium"":65.0,""eisen"":8.17,""kalium"":723.0,""kupfer"":0.266,""magnesium"":60.0,""mangan"":5.224,""natrium"":6.0,""phosphor"":101.0,""selen"":0.7,""vitamin_a"":0.0,""vitamin_b1"":0.065,""vitamin_b12"":0.0,""vitamin_b2"":0.135,""vitamin_b3"":1.101,""vitamin_b5"":0.05,""vitamin_b6"":0.08,""vitamin_b9"":75.0,""vitamin_c"":2.6,""vitamin_d"":0.0,""zink"":2.23}"
168155;Limette;Limes, raw;;;30;0.7;10.54;1.69;0.2;0.022;2.8;0.005;"{""calcium"":33.0,""eisen"":0.6,""kalium"":102.0,""kupfer"":0.065,""magnesium"":6.0,""mangan"":0.008,""natrium"":2.0,""phosphor"":18.0,""selen"":0.4,""vitamin_a"":2.0,""vitamin_b1"":0.03,""vitamin_b12"":0.0,""vitamin_b2"":0.02,""vitamin_b3"":0.2,""vitamin_b5"":0.217,""vitamin_b6"":0.043,""vitamin_b9"":8.0,""vitamin_c"":29.1,""vitamin_d"":0.0,""vitamin_e"":0.22,""vitamin_k"":0.6,""zink"":0.11}"
167762;Erdbeere;Strawberries, raw;;;32;0.67;7.68;4.89;0.3;0.015;2;0.003;"{""calcium"":16.0,""eisen"":0.41,""kalium"":153.0,""kupfer"":0.048,""magnesium"":13.0,""mangan"":0.386,""natrium"":1.0,""phosphor"":24.0,""selen"":0.4,""vitamin_a"":1.0,""vitamin_b1"":0.024,""vitamin_b12"":0.0,""vitamin_b2"":0.022,""vitamin_b3"":0.386,""vitamin_b5"":0.125,""vitamin_b6"":0.047,""vitamin_b9"":24.0,""vitamin_c"":58.8,""vitamin_d"":0.0,""vitamin_e"":0.29,""vitamin_k"":2.2,""zink"":0.14}"
167755;Himbeere;Raspberries, raw;;;52;1.2;11.94;4.42;0.65;0.019;6.5;0.003;"{""calcium"":25.0,""eisen"":0.69,""kalium"":151.0,""kupfer"":0.09,""magnesium"":22.0,""mangan"":0.67,""natrium"":1.0,""phosphor"":29.0,""selen"":0.2,""vitamin_a"":2.0,""vitamin_b1"":0.032,""vitamin_b12"":0.0,""vitamin_b2"":0.038,""vitamin_b3"":0.598,""vitamin_b5"":0.329,""vitamin_b6"":0.055,""vitamin_b9"":21.0,""vitamin_c"":26.2,""vitamin_d"":0.0,""vitamin_e"":0.87,""vitamin_k"":7.8,""zink"":0.42}"
171711;Blaubeere;Blueberries, raw;;;57;0.74;14.49;9.96;0.33;0.028;2.4;0.003;"{""calcium"":6.0,""eisen"":0.28,""kalium"":77.0,""kupfer"":0.057,""magnesium"":6.0,""mangan"":0.336,""natrium"":1.0,""phosphor"":12.0,""selen"":0.1,""vitamin_a"":3.0,""vitamin_b1"":0.037,""vitamin_b12"":0.0,""vitamin_b2"":0.041,""vitamin_b3"":0.418,""vitamin_b5"":0.124,""vitamin_b6"":0.052,""vitamin_b9"":6.0,""vitamin_c"":9.7,""vitamin_d"":0.0,""vitamin_e"":0.57,""vitamin_k"":19.3,""zink"":0.16}"
173946;Brombeere;Blackberries, raw;;;43;1.39;9.61;4.88;0.49;0.014;5.3;0.003;"{""calcium"":29.0,""eisen"":0.62,""kalium"":162.0,""kupfer"":0.165,""magnesium"":20.0,""mangan"":0.646,""natrium"":1.0,""phosphor"":22.0,""selen"":0.4,""vitamin_a"":11.0,""vitamin_b1"":0.02,""vitamin_b12"":0.0,""vitamin_b2"":0.026,""vitamin_b3"":0.646,""vitamin_b5"":0.276,""vitamin_b6"":0.03,""vitamin_b9"":25.0,""vitamin_c"":21.0,""vitamin_d"":0.0,""vitamin_e"":1.17,""vitamin_k"":19.8,""zink"":0.53}"
173964;Johannisbeere rot;Currants, red and white, raw;;;56;1.4;13.8;7.37;0.2;0.017;4.3;0.003;"{""calcium"":33.0,""eisen"":1.0,""kalium"":275.0,""kupfer"":0.107,""magnesium"":13.0,""mangan"":0.186,""natrium"":1.0,""phosphor"":44.0,""selen"":0.6,""vitamin_a"":2.0,""vitamin_b1"":0.04,""vitamin_b12"":0.0,""vitamin_b2"":0.05,""vitamin_b3"":0.1,""vitamin_b5"":0.064,""vitamin_b6"":0.07,""vitamin_b9"":8.0,""vitamin_c"":41.0,""vitamin_d"":0.0,""vitamin_e"":0.1,""vitamin_k"":11.0,""zink"":0.23}"
