dedupe_id;sighi_idx;sighi_keyword;sighi_score;sighi_category;sighi_source_ref;duplicate_of_id
1;0;Eier, Hühnerei, Vollei;1;Eier;SIGHI_FoodList_2024-08-29_p4_r15;
2;1;Eigelb, Eidotter;0;Eier;SIGHI_FoodList_2024-08-29_p4_r17;
3;2;Eiklar, Eiweiß;1;Eier;SIGHI_FoodList_2024-08-29_p4_r18;
4;3;Eiweiss, Eiweiß, Eiklar;1;Eier;SIGHI_FoodList_2024-08-29_p4_r19;
5;4;Wachteleier;0;Eier;SIGHI_FoodList_2024-08-29_p4_r20;
6;5;Blauschimmelkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r22;
7;6;Butter: Sauerrahmbutter, mildgesäuerte Butter;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r23;
8;7;Butter: Süßrahmbutter, Süssrahmbutter;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r25;
9;8;Butterkäse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r27;
10;9;Buttermilch, angesäuert;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r28;
11;10;Camembert;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r29;
12;11;Cheddar Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r30;
13;12;crème fraïche;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r31;
14;13;Edelschimmelkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r32;
15;14;Feta, Feta-Käse;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r33;
16;15;Fontina Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r34;
17;16;Frischkäse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r35;
18;17;Geheimratskäse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r36;
19;18;Ghee;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r37;
20;19;Gouda Käse, gereift;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r39;
21;20;Gouda Käse, jung;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r40;
22;21;Haltbarmilch, H-Milch, UHT-Milch, Up-Milch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r41;
23;22;Joghurt nature;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r43;
24;23;Käse: lange gereifte Sorten und Hartkäse (z.B.;3;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r44;
25;24;Käsezubereitungen (=Mischungen mit weiteren;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r46;
26;25;Kefir;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r48;
27;26;Mascarpone Käse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r49;
28;27;Milch, laktosefrei;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r50;
29;28;Milch, pasteurisiert (PAST-Milch);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r52;
30;29;Milchpulver;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r54;
31;30;Molke: Sauermolke;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r55;
32;31;Molke: Süßmolke, Süssmolke, Labmolke;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r56;
33;32;Mozzarella Käse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r13;
34;33;Obers, Sahne (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r14;
35;34;Quark;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r17;
36;35;Raclette Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r18;
37;36;Rahm, süß (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r19;
38;37;Ricotta Käse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r22;
39;38;Rohmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r23;
40;39;Rohmilchkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r25;
41;40;Rohmilchprodukte;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r27;
42;41;Roquefort Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r28;
43;42;Sahne, süß (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r29;
44;43;Sauerrahm;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r32;
45;44;saure Sahne;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r33;
46;45;Schafmilch, Schafsmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r34;
47;46;Schimmelkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r35;
48;47;Schlagobers, Schlagsahne (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r36;
49;48;Schmelzkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r39;
50;49;Süssrahm, Süßrahm (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r40;
51;50;Topfen;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r43;
52;51;UHT-Milch, Up-Milch, H-Milch, Haltbarmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r44;22
53;52;Ziegenmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r46;
54;53;Dörrfleisch, Trockenfleisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p5_r48;
55;54;Ente, Entenfleisch;0;Fleisch;SIGHI_FoodList_2024-08-29_p5_r49;
56;55;Faschiertes (=Hackfleisch), bei Verzehr unmittelbar;0;Fleisch;SIGHI_FoodList_2024-08-29_p5_r50;
57;56;Faschiertes (=Hackfleisch), Offenverkauf oder unter;2;Fleisch;SIGHI_FoodList_2024-08-29_p5_r52;
58;57;Geflügelfleisch;0;Fleisch;SIGHI_FoodList_2024-08-29_p5_r54;
59;58;geräucherter Fisch, Räucherfisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p5_r55;
60;59;Geselchtes, Rauchfleisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p5_r56;
61;60;Hackfleisch, bei Verzehr unmittelbar nach;0;Fleisch;SIGHI_FoodList_2024-08-29_p5_r57;
