ingredient_id|ingredient_name|current_score|new_score|match_type|matched_keyword|source_ref|reasoning
﻿342f73f4-d1f9-46bb-97ab-b9172302bc50|Aal|1|NULL|NONE|||kein exakter SIGHI-Match
6f652a3c-0d96-4594-9a57-aab206ae1604|Adzuki Bohnen|3|NULL|NONE|||kein exakter SIGHI-Match
48a68806-f77c-4484-9ca7-739eeb1c51e2|Agavendicksaft|0|0|EXACT_SYNONYM|Agavendicksaft, Agavensirup|SIGHI_FoodList_2024-08-29_p18_r35|normalisiert ingredient='agavendicksaft' == sighi variant von 'Agavendicksaft, Agavensirup' (Max-Score-Wins über 1 Treffer)
a4c77e8c-471f-4acd-97f6-eed232249ecb|Ahornsirup|0|0|EXACT|Ahornsirup|SIGHI_FoodList_2024-08-29_p18_r36|normalisiert ingredient='ahornsirup' == sighi variant von 'Ahornsirup' (Max-Score-Wins über 1 Treffer)
1e444328-e4ec-447b-b333-165443998d9e|Alaska-Seelachs|1|NULL|NONE|||kein exakter SIGHI-Match
2faa846f-518c-47ea-8921-5bc875da1e7a|Algen Nori|0|NULL|NONE|||kein exakter SIGHI-Match
7b6a4f6e-d658-4f00-9985-9dcfe74d356d|Algen Wakame|0|NULL|NONE|||kein exakter SIGHI-Match
7b4d7f1f-18c1-4188-837f-607c88829e7b|Ananas|3|2|EXACT|Ananas|SIGHI_FoodList_2024-08-29_p14_r31|normalisiert ingredient='ananas' == sighi variant von 'Ananas' (Max-Score-Wins über 1 Treffer)
5aa75e07-30ad-4aa6-823e-fc44cb665f0b|Ananassaft|3|NULL|NONE|||kein exakter SIGHI-Match
79070ff1-d666-496e-9ac3-a21f0867778e|Anis|0|NULL|NONE|||kein exakter SIGHI-Match
888fadaf-245c-4e79-9b69-c748f07ca3cf|Apfel|0|0|EXACT|Apfel|SIGHI_FoodList_2024-08-29_p14_r33|normalisiert ingredient='apfel' == sighi variant von 'Apfel' (Max-Score-Wins über 1 Treffer)
0929beaa-56c0-4316-9714-92c1d4789a54|Apfel geschält|0|NULL|NONE|||kein exakter SIGHI-Match
d18b3638-ad38-4fa7-a16e-4a51633f2544|Apfelessig|1|NULL|NONE|||kein exakter SIGHI-Match
33a3cf6d-3ffd-410e-a7af-0806f162fe57|Apfelsaft|0|NULL|NONE|||kein exakter SIGHI-Match
