sighi_idx;sighi_keyword;sighi_score;sighi_category;sighi_source_ref;candidates_top5
0;Eier, Hühnerei, Vollei;1;Eier;SIGHI_FoodList_2024-08-29_p4_r15;"171258|Eierlikör|Eggnog ;; 168772|Eierpudding, Trockenmischung|Egg custards, dry mix ;; 748236|Eier, Güteklasse A, groß, Eigelb|Eggs, Grade A, Large, egg yolk ;; 169904|Eier, Rührei, gefrorene Mischung|Eggs, scrambled, frozen mixture ;; 167643|Fisch, Felchen, Eier (Alaska Native)|Fish, whitefish, eggs (Alaska Native)"
1;Eigelb, Eidotter;0;Eier;SIGHI_FoodList_2024-08-29_p4_r17;"173428|Ei, Eigelb, getrocknet|Egg, yolk, dried ;; 172184|Ei, Eigelb, roh, frisch|Egg, yolk, raw, fresh ;; 748236|Eier, Güteklasse A, groß, Eigelb|Eggs, Grade A, Large, egg yolk ;; 171364|Babynahrung, Müsli, mit Eigelb, Junior|Babyfood, cereal, with egg yolks, junior ;; 329596|Ei, Eigelb, roh, gefroren, pasteurisiert|Egg, yolk, raw, frozen, pasteurized"
2;Eiklar, Eiweiß;1;Eier;SIGHI_FoodList_2024-08-29_p4_r18;"1104867|Mehl, Reis, Klebereiweiß|Flour, rice, glutinous ;; 174917|Brot, Eiweiß (enthält Gluten)|Bread, protein (includes gluten) ;; 170889|Joghurt, Obst, fettarm, 9 g Eiweiß/8 oz|Yogurt, fruit, low fat,9 g protein/8 oz ;; 172809|Brot, Eiweiß, (enthält Gluten), getoastet|Bread, protein, (includes gluten), toasted ;; 174279|Sojasauce aus hydrolisiertem Pflanzeneiweiß|Soy sauce made from hydrolyzed vegetable protein"
3;Eiweiss, Eiweiß, Eiklar;1;Eier;SIGHI_FoodList_2024-08-29_p4_r19;"1104867|Mehl, Reis, Klebereiweiß|Flour, rice, glutinous ;; 174917|Brot, Eiweiß (enthält Gluten)|Bread, protein (includes gluten) ;; 170889|Joghurt, Obst, fettarm, 9 g Eiweiß/8 oz|Yogurt, fruit, low fat,9 g protein/8 oz ;; 172809|Brot, Eiweiß, (enthält Gluten), getoastet|Bread, protein, (includes gluten), toasted ;; 174279|Sojasauce aus hydrolisiertem Pflanzeneiweiß|Soy sauce made from hydrolyzed vegetable protein"
4;Wachteleier;0;Eier;SIGHI_FoodList_2024-08-29_p4_r20;"171258|Eierlikör|Eggnog ;; 172419|Wachteln, nur Fleisch, roh|Quail, meat only, raw ;; 168772|Eierpudding, Trockenmischung|Egg custards, dry mix ;; 172191|Ei, Wachtel, ganz, frisch, roh|Egg, quail, whole, fresh, raw ;; 172418|Wachteln, Fleisch und Haut, roh|Quail, meat and skin, raw"
5;Blauschimmelkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r22;"167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue ;; 172177|Käse, Brie|Cheese, brie ;; 173420|Käse, Feta|Cheese, feta ;; 173416|Käse, Colby|Cheese, colby"
6;Butter: Sauerrahmbutter, mildgesäuerte Butter;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r23;"168100|Cremiges Dressing, hergestellt aus Sauerrahm und/oder Buttermilch und Öl, kalorienreduziert, cholesterinfrei|Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, cholesterol-free ;; 171421|Öl, Kakaobutter|Oil, cocoa butter ;; 173430|Butter, ohne Salz|Butter, without salt ;; 173570|Öl, Ucuhubabutter|Oil, ucuhuba butter ;; 174987|Croissants, Butter|Croissants, butter"
7;Butter: Süßrahmbutter, Süssrahmbutter;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r25;"171421|Öl, Kakaobutter|Oil, cocoa butter ;; 173430|Butter, ohne Salz|Butter, without salt ;; 173570|Öl, Ucuhubabutter|Oil, ucuhuba butter ;; 174987|Croissants, Butter|Croissants, butter ;; 2262073|Sesambutter, cremig|Sesame butter, creamy"
8;Butterkäse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r27;"174976|Cracker, Käse, Sandwiches mit Erdnussbutterfüllung|Crackers, cheese, sandwich-type with peanut butter filling ;; 2426339|""LUMBER JACK"" GERÄUCHERTE WURST IM MITTELTEIL, FRISCHER BUTTERMILCHKEKS, EI & KÄSE-SUPER-SIZE-SANDWICHES, ""LUMBER JACK""|""LUMBER JACK"" CENTER-CUT SMOKED SAUSAGE, FRESH BUTTERMILK BISCUIT, EGG & CHEESE SUPER-SIZE SANDWICHES, ""LUMBER JACK"" ;; 167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue ;; 172177|Käse, Brie|Cheese, brie"
9;Buttermilch, angesäuert;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r28;"2259792|Buttermilch, fettarm|Buttermilk, low fat ;; 171274|Milch, Buttermilch, getrocknet|Milk, buttermilk, dried ;; 169895|Salatdressing, Buttermilch, lite|Salad dressing, buttermilk, lite ;; 172225|Milch, Buttermilch, flüssig, voll|Milk, buttermilk, fluid, whole ;; 167516|Waffeln, Buttermilch, gefroren, aufwärmfertig|Waffles, buttermilk, frozen, ready-to-heat"
10;Camembert;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r29;172178|Käse, Camembert|Cheese, camembert
11;Cheddar Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r30;"173439|Käse, fettarm, Cheddar oder Colby|Cheese, low fat, cheddar or colby ;; 2597083|EXTRA SCHARFER WEISSER CHEDDAR-KÄSE|EXTRA SHARP WHITE CHEDDAR CHEESE ;; 169901|Käse, amerikanischer Cheddar, Imitat|Cheese, american cheddar, imitation ;; 171295|Käse, Cheddar, fettarm oder fettfrei|Cheese, cheddar, nonfat or fat free ;; 173440|Käse, natriumarm, Cheddar oder Colby|Cheese, low-sodium, cheddar or colby"
12;crème fraïche;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r31;173168|Alkoholisches Getränk, Crème de Menthe, 72%ig|Alcoholic beverage, creme de menthe, 72 proof
13;Edelschimmelkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r32;"167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue ;; 172177|Käse, Brie|Cheese, brie ;; 173420|Käse, Feta|Cheese, feta ;; 173416|Käse, Colby|Cheese, colby"
14;Feta, Feta-Käse;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r33;"173420|Käse, Feta|Cheese, feta ;; 2607109|ECHTER FASSGEREIFTER FETA-KÄSE|AUTHENTIC BARREL RIPENED FETA CHEESE ;; 2259796|Käse, Feta, Vollmilch, zerkrümelt|Cheese, feta, whole milk, crumbled ;; 167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue"
15;Fontina Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r34;"170843|Käse, Fontina|Cheese, fontina ;; 167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue ;; 172177|Käse, Brie|Cheese, brie ;; 173420|Käse, Feta|Cheese, feta"
16;Frischkäse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r35;"172223|Käse, frisch, queso fresco|Cheese, fresh, queso fresco ;; 2346385|Frischkäse, Vollfett, Block|Cream cheese, full fat, block ;; 169081|Streichkäse, Frischkäsebasis|Cheese spread, cream cheese base ;; 169619|Frostings, Frischkäse-Geschmack, verzehrfertig|Frostings, cream cheese-flavor, ready-to-eat ;; 2614606|FRISCHKÄSEAUFSTRICH NACH BÜFFELART MIT SCHLAGSAHNE|BUFFALO STYLE WHIPPED CREAM CHEESE SPREAD"
17;Geheimratskäse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r36;"167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue ;; 172177|Käse, Brie|Cheese, brie ;; 173420|Käse, Feta|Cheese, feta ;; 173416|Käse, Colby|Cheese, colby"
18;Ghee;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r37;171314|Butter, Butterschmalz (Ghee)|Butter, Clarified butter (ghee)
19;Gouda Käse, gereift;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r39;"171241|Käse, Gouda|Cheese, gouda ;; 2607109|ECHTER FASSGEREIFTER FETA-KÄSE|AUTHENTIC BARREL RIPENED FETA CHEESE ;; 2598948|BRIE TRIPLE CRME WEICH GEREIFTER KÄSE|BRIE TRIPLE CRME SOFT-RIPENED CHEESE ;; 167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue"
20;Gouda Käse, jung;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r40;"171241|Käse, Gouda|Cheese, gouda ;; 167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue ;; 172177|Käse, Brie|Cheese, brie ;; 173420|Käse, Feta|Cheese, feta"
21;Haltbarmilch, H-Milch, UHT-Milch, Up-Milch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r41;"1999630|Sojamilch, ungesüßt, klar, haltbar|Soy milk, unsweetened, plain, shelf stable ;; 1999631|Mandelmilch, ungesüßt, einfach, haltbar|Almond milk, unsweetened, plain, shelf stable ;; 174832|Getränke, Mandelmilch, ungesüßt, haltbar|Beverages, almond milk, unsweetened, shelf stable ;; 173187|Getränke, Schokoladen-Mandelmilch, ungesüßt, haltbar, angereichert mit Vitamin D2 und E|Beverages, chocolate almond milk, unsweetened, shelf-stable, fortified with vitamin D2 and E ;; 174980|Kekse, Milch|Crackers, milk"
